Exact_entropy,Clifford_entropy,Clifford_cdf_entropy,Distinct Count,Total Len,Table Size,resolution,interth,interspan
3.585777700568525183655310684117,3.101526843377451658767540720874,2.747355062582062412701588982600,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.218503273410601828175003902288,4.030623240790901284924530045828,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.433576468722428387536638183519,3.643860075853029290016138475039,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.101526843377451658767540720874,3.039264213943088766001210387913,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.218503273410601828175003902288,3.700912163239490126898090238683,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.433576468722428387536638183519,4.004682773248209315397616592236,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.101526843377451658767540720874,3.608596832005504406737372846692,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.218503273410601828175003902288,3.363621254826336226528837869409,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.433576468722428387536638183519,3.615698183464584047897005802952,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.101526843377451658767540720874,3.608596832005504406737372846692,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.218503273410601828175003902288,3.363621254826336226528837869409,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.433576468722428387536638183519,3.615698183464584047897005802952,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.101526843377451658767540720874,3.025564097194515689182026108028,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.218503273410601828175003902288,3.018788243427318551681537428522,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.433576468722428387536638183519,3.204497722672943638144715805538,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.101526843377451658767540720874,3.025564097194515689182026108028,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.218503273410601828175003902288,3.018788243427318551681537428522,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.433576468722428387536638183519,3.204497722672943638144715805538,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.784804618947188892263966408791,3.025564097194515689182026108028,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.861447873123234231229616852943,3.018788243427318551681537428522,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.777675845971980805870771291666,3.204497722672943638144715805538,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.784804618947188892263966408791,3.608596832005504406737372846692,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.861447873123234231229616852943,3.363621254826336226528837869409,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.777675845971980805870771291666,3.615698183464584047897005802952,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.395272763616918432205693534343,3.608596832005504406737372846692,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,4.040838479609064393116568680853,3.363621254826336226528837869409,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,3.627413576334566513992285763379,3.615698183464584047897005802952,9684,500000,65536,16384,16,4 
3.585777700568525183655310684117,3.566496690809053848880694204126,3.608596832005504406737372846692,9744,500000,65536,16384,16,4 
3.581739448793114899416423213552,3.121124915817848233245968003757,3.363621254826336226528837869409,9646,500000,65536,16384,16,4 
3.582348280348312208332117734244,2.616161413175677186160328346887,3.615698183464584047897005802952,9684,500000,65536,16384,16,4 
